school,year,conference
Auburn,2011,SEC
Auburn,2012,SEC
Auburn,2013,SEC
Auburn,2014,SEC
Auburn,2015,SEC
Auburn,2016,SEC
Auburn,2017,SEC
Auburn,2018,SEC
Auburn,2019,SEC
Auburn,2020,SEC
Auburn,2021,SEC
Auburn,2022,SEC
Auburn,2023,SEC
Auburn,2024,SEC
Austin Peay,2010,ASUN
Austin Peay,2011,ASUN
Austin Peay,2012,ASUN
Austin Peay,2013,ASUN
Austin Peay,2014,ASUN
Austin Peay,2015,ASUN
Austin Peay,2016,ASUN
Austin Peay,2017,ASUN
Austin Peay,2018,ASUN
Austin Peay,2019,ASUN
Austin Peay,2020,ASUN
Austin Peay,2021,ASUN
Austin Peay,2022,ASUN
Austin Peay,2023,ASUN
Austin Peay,2024,ASUN
BYU,2010,Mountain West
BYU,2011,WCC
BYU,2012,WCC
BYU,2013,WCC
BYU,2014,WCC
BYU,2015,WCC
BYU,2016,WCC
BYU,2017,WCC
BYU,2018,WCC
BYU,2019,WCC
BYU,2020,WCC
BYU,2021,WCC
BYU,2022,WCC
BYU,2023,Big 12
BYU,2024,Big 12
Ball State,2010,MAC
Ball State,2011,MAC
Ball State,2012,MAC
Ball State,2013,MAC
Ball State,2014,MAC
Ball State,2015,MAC
Ball State,2016,MAC
Ball State,2017,MAC
Ball State,2018,MAC
Ball State,2019,MAC
Ball State,2020,MAC
Ball State,2021,MAC
Ball State,2022,MAC
Ball State,2023,MAC
Ball State,2024,MAC
Baylor,2010,Big 12
Baylor,2011,Big 12
Baylor,2012,Big 12
Baylor,2013,Big 12
Baylor,2014,Big 12
Baylor,2015,Big 12
Baylor,2016,Big 12
Baylor,2017,Big 12
Baylor,2018,Big 12
Baylor,2019,Big 12
Baylor,2020,Big 12
Baylor,2021,Big 12
Baylor,2022,Big 12
Baylor,2023,Big 12
Baylor,2024,Big 12
Belmont,2010,Ohio Valley
Belmont,2011,Ohio Valley
Belmont,2012,Ohio Valley
Belmont,2013,Ohio Valley
Belmont,2014,Ohio Valley
Belmont,2015,Ohio Valley
Belmont,2016,Ohio Valley
Belmont,2017,Ohio Valley
Belmont,2018,Ohio Valley
Belmont,2019,Ohio Valley
Belmont,2020,Ohio Valley
Belmont,2021,Ohio Valley
Belmont,2022,Ohio Valley
Belmont,2023,Ohio Valley
Belmont,2024,Ohio Valley
Bethune-Cookman,2010,MEAC
Bethune-Cookman,2011,MEAC
Bethune-Cookman,2012,MEAC
Bethune-Cookman,2013,MEAC
Bethune-Cookman,2014,MEAC
Bethune-Cookman,2015,MEAC
Bethune-Cookman,2016,MEAC
Bethune-Cookman,2017,MEAC
Bethune-Cookman,2018,MEAC
Bethune-Cookman,2019,MEAC
Bethune-Cookman,2020,MEAC
Bethune-Cookman,2021,MEAC
Bethune-Cookman,2022,MEAC
Bethune-Cookman,2023,MEAC
Bethune-Cookman,2024,MEAC
Binghamton,2010,America East
Binghamton,2011,America East
Binghamton,2012,America East
Binghamton,2013,America East
Binghamton,2014,America East
Binghamton,2015,America East
Binghamton,2016,America East
Binghamton,2017,America East
Binghamton,2018,America East
Binghamton,2019,America East
Binghamton,2020,America East
Binghamton,2021,America East
Binghamton,2022,America East
Binghamton,2023,America East
Binghamton,2024,America East
Boise State,2010,Mountain West
Boise State,2011,Mountain West
Boise State,2012,Mountain West
Boise State,2013,Mountain West
Boise State,2014,Mountain West
Boise State,2015,Mountain West
Boise State,2016,Mountain West
Boise State,2017,Mountain West
Boise State,2018,Mountain West
Boise State,2019,Mountain West
Boise State,2020,Mountain West
Boise State,2021,Mountain West
Boise State,2022,Mountain West
Boise State,2023,Mountain West
Boise State,2024,Mountain West
Boston College,2010,ACC
Boston College,2011,ACC
Boston College,2012,ACC
Boston College,2013,ACC
Boston College,2014,ACC
Boston College,2015,ACC
Boston College,2016,ACC
Boston College,2017,ACC
Boston College,2018,ACC
Boston College,2019,ACC
Boston College,2020,ACC
Boston College,2021,ACC
Boston College,2022,ACC
Boston College,2023,ACC
Boston College,2024,ACC
Boston University,2010,Patriot
Boston University,2011,Patriot
Boston University,2012,Patriot
Boston University,2013,Patriot
Boston University,2014,Patriot
Boston University,2015,Patriot
Boston University,2016,Patriot
Boston University,2017,Patriot
Boston University,2018,Patriot
Boston University,2019,Patriot
Boston University,2020,Patriot
Boston University,2021,Patriot
Boston University,2022,Patriot
Boston University,2023,Patriot
Boston University,2024,Patriot
Bowling Green,2010,MAC
Bowling Green,2011,MAC
Bowling Green,2012,MAC
Bowling Green,2013,MAC
Bowling Green,2014,MAC
Bowling Green,2015,MAC
Bowling Green,2016,MAC
Bowling Green,2017,MAC
Bowling Green,2018,MAC
Bowling Green,2019,MAC
Bowling Green,2020,MAC
Bowling Green,2021,MAC
Bowling Green,2022,MAC
Bowling Green,2023,MAC
Bowling Green,2024,MAC
Bradley,2010,Missouri Valley
Bradley,2011,Missouri Valley
Bradley,2012,Missouri Valley
Bradley,2013,Missouri Valley
Bradley,2014,Missouri Valley
Bradley,2015,Missouri Valley
Bradley,2016,Missouri Valley
Bradley,2017,Missouri Valley
Bradley,2018,Missouri Valley
Bradley,2019,Missouri Valley
Bradley,2020,Missouri Valley
Bradley,2021,Missouri Valley
Bradley,2022,Missouri Valley
Bradley,2023,Missouri Valley
Bradley,2024,Missouri Valley
Brown,2010,Ivy
Brown,2011,Ivy
Brown,2012,Ivy
Brown,2013,Ivy
Brown,2014,Ivy
Brown,2015,Ivy
Brown,2016,Ivy
Brown,2017,Ivy
Brown,2018,Ivy
Brown,2019,Ivy
Brown,2020,Ivy
Brown,2021,Ivy
Brown,2022,Ivy
Brown,2023,Ivy
Brown,2024,Ivy
Bryant,2010,NEC
Bryant,2011,NEC
Bryant,2012,NEC
Bryant,2013,NEC
Bryant,2014,NEC
Bryant,2015,NEC
Bryant,2016,NEC
Bryant,2017,NEC
Bryant,2018,NEC
Bryant,2019,NEC
Bryant,2020,NEC
Bryant,2021,NEC
Bryant,2022,NEC
Bryant,2023,NEC
Bryant,2024,NEC
Bucknell,2010,Patriot
Bucknell,2011,Patriot
Bucknell,2012,Patriot
Bucknell,2013,Patriot
Bucknell,2014,Patriot
Bucknell,2015,Patriot
Bucknell,2016,Patriot
Bucknell,2017,Patriot
Bucknell,2018,Patriot
Bucknell,2019,Patriot
Bucknell,2020,Patriot
Bucknell,2021,Patriot
Bucknell,2022,Patriot
Bucknell,2023,Patriot
Bucknell,2024,Patriot
Buffalo,2010,MAC
Buffalo,2011,MAC
Buffalo,2012,MAC
Buffalo,2013,MAC
Buffalo,2014,MAC
Buffalo,2015,MAC
Buffalo,2016,MAC
Buffalo,2017,MAC
Buffalo,2018,MAC
Buffalo,2019,MAC
Buffalo,2020,MAC
Buffalo,2021,MAC
Buffalo,2022,MAC
Buffalo,2023,MAC
Buffalo,2024,MAC
Cal Baptist,2010,WAC
Cal Baptist,2011,WAC
Cal Baptist,2012,WAC
Cal Baptist,2013,WAC
Cal Baptist,2014,WAC
Cal Baptist,2015,WAC
Cal Baptist,2016,WAC
Cal Baptist,2017,WAC
Cal Baptist,2018,WAC
Cal Baptist,2019,WAC
Cal Baptist,2020,WAC
Cal Baptist,2021,WAC
Cal Baptist,2022,WAC
Cal Baptist,2023,WAC
Cal Baptist,2024,WAC
Cal Poly,2010,Big West
Cal Poly,2011,Big West
Cal Poly,2012,Big West
Cal Poly,2013,Big West
Cal Poly,2014,Big West
Cal Poly,2015,Big West
Cal Poly,2016,Big West
Cal Poly,2017,Big West
Cal Poly,2018,Big West
Cal Poly,2019,Big West
Cal Poly,2020,Big West
Cal Poly,2021,Big West
Cal Poly,2022,Big West
Cal Poly,2023,Big West
Cal Poly,2024,Big West
Cal State Fullerton,2010,Big West
Cal State Fullerton,2011,Big West
Cal State Fullerton,2012,Big West
Cal State Fullerton,2013,Big West
Cal State Fullerton,2014,Big West
Cal State Fullerton,2015,Big West
Cal State Fullerton,2016,Big West
Cal State Fullerton,2017,Big West
Cal State Fullerton,2018,Big West
Cal State Fullerton,2019,Big West
Cal State Fullerton,2020,Big West
Cal State Fullerton,2021,Big West
Cal State Fullerton,2022,Big West
Cal State Fullerton,2023,Big West
Cal State Fullerton,2024,Big West
Cal State Northridge,2010,Big West
Cal State Northridge,2011,Big West
Cal State Northridge,2012,Big West
Cal State Northridge,2013,Big West
Cal State Northridge,2014,Big West
Cal State Northridge,2015,Big West
Cal State Northridge,2016,Big West
Cal State Northridge,2017,Big West
Cal State Northridge,2018,Big West
Cal State Northridge,2019,Big West
Cal State Northridge,2020,Big West
Cal State Northridge,2021,Big West
Cal State Northridge,2022,Big West
Cal State Northridge,2023,Big West
Cal State Northridge,2024,Big West
California,2010,Pac-12
California,2011,Pac-12
California,2012,Pac-12
California,2013,Pac-12
California,2014,Pac-12
California,2015,Pac-12
California,2016,Pac-12
California,2017,Pac-12
California,2018,Pac-12
California,2019,Pac-12
California,2020,Pac-12
California,2021,Pac-12
California,2022,Pac-12
California,2023,Pac-12
California,2024,ACC
Campbell,2010,Big South
Campbell,2011,Big South
Campbell,2012,Big South
Campbell,2013,Big South
Campbell,2014,Big South
Campbell,2015,Big South
Campbell,2016,Big South
Campbell,2017,Big South
Campbell,2018,Big South
Campbell,2019,Big South
Campbell,2020,Big South
Campbell,2021,Big South
Campbell,2022,Big South
Campbell,2023,Big South
Campbell,2024,Big South
Canisius,2010,MAAC
Canisius,2011,MAAC
Canisius,2012,MAAC
Canisius,2013,MAAC
Canisius,2014,MAAC
Canisius,2015,MAAC
Canisius,2016,MAAC
Canisius,2017,MAAC
Canisius,2018,MAAC
Canisius,2019,MAAC
Canisius,2020,MAAC
Canisius,2021,MAAC
Canisius,2022,MAAC
Canisius,2023,MAAC
Canisius,2024,MAAC
Central Arkansas,2010,Southland
Central Arkansas,2011,Southland
Central Arkansas,2012,Southland
Central Arkansas,2013,Southland
Central Arkansas,2014,Southland
Central Arkansas,2015,Southland
Central Arkansas,2016,Southland
Central Arkansas,2017,Southland
Central Arkansas,2018,Southland
Central Arkansas,2019,Southland
Central Arkansas,2020,Southland
Central Arkansas,2021,Southland
Central Arkansas,2022,Southland
Central Arkansas,2023,Southland
Central Arkansas,2024,Southland
Central Connecticut,2010,NEC
Central Connecticut,2011,NEC
Central Connecticut,2012,NEC
Central Connecticut,2013,NEC
Central Connecticut,2014,NEC
Central Connecticut,2015,NEC
Central Connecticut,2016,NEC
Central Connecticut,2017,NEC
Central Connecticut,2018,NEC
Central Connecticut,2019,NEC
Central Connecticut,2020,NEC
Central Connecticut,2021,NEC
Central Connecticut,2022,NEC
Central Connecticut,2023,NEC
Central Connecticut,2024,NEC
Central Michigan,2010,MAC
Central Michigan,2011,MAC
Central Michigan,2012,MAC
Central Michigan,2013,MAC
Central Michigan,2014,MAC
Central Michigan,2015,MAC
Central Michigan,2016,MAC
Central Michigan,2017,MAC
Central Michigan,2018,MAC
Central Michigan,2019,MAC
Central Michigan,2020,MAC
Central Michigan,2021,MAC
Central Michigan,2022,MAC
Central Michigan,2023,MAC
Central Michigan,2024,MAC
Charleston,2010,CAA
Charleston,2011,CAA
Charleston,2012,CAA
Charleston,2013,CAA
Charleston,2014,CAA
Charleston,2015,CAA
Charleston,2016,CAA
Charleston,2017,CAA
Charleston,2018,CAA
Charleston,2019,CAA
Charleston,2020,CAA
Charleston,2021,CAA
Charleston,2022,CAA
Charleston,2023,CAA
Charleston,2024,CAA
Charleston Southern,2010,Big South
Charleston Southern,2011,Big South
Charleston Southern,2012,Big South
Charleston Southern,2013,Big South
Charleston Southern,2014,Big South
Charleston Southern,2015,Big South
Charleston Southern,2016,Big South
Charleston Southern,2017,Big South
Charleston Southern,2018,Big South
Charleston Southern,2019,Big South
Charleston Southern,2020,Big South
Charleston Southern,2021,Big South
Charleston Southern,2022,Big South
Charleston Southern,2023,Big South
Charleston Southern,2024,Big South
Charlotte,2010,Atlantic 10
Charlotte,2011,Atlantic 10
Charlotte,2012,Atlantic 10
Charlotte,2013,Atlantic 10
Charlotte,2014,CUSA
Charlotte,2015,CUSA
Charlotte,2016,CUSA
Charlotte,2017,CUSA
Charlotte,2018,CUSA
Charlotte,2019,CUSA
Charlotte,2020,CUSA
Charlotte,2021,CUSA
Charlotte,2022,CUSA
Charlotte,2023,CUSA
Charlotte,2024,CUSA
Chattanooga,2010,Southern
Chattanooga,2011,Southern
Chattanooga,2012,Southern
Chattanooga,2013,Southern
Chattanooga,2014,Southern
Chattanooga,2015,Southern
Chattanooga,2016,Southern
Chattanooga,2017,Southern
Chattanooga,2018,Southern
Chattanooga,2019,Southern
Chattanooga,2020,Southern
Chattanooga,2021,Southern
Chattanooga,2022,Southern
Chattanooga,2023,Southern
Chattanooga,2024,Southern
Chicago State,2010,WAC
Chicago State,2011,WAC
Chicago State,2012,WAC
Chicago State,2013,WAC
Chicago State,2014,WAC
Chicago State,2015,WAC
Chicago State,2016,WAC
Chicago State,2017,WAC
Chicago State,2018,WAC
Chicago State,2019,WAC
Chicago State,2020,WAC
Chicago State,2021,WAC
Chicago State,2022,WAC
Chicago State,2023,WAC
Chicago State,2024,WAC
Cincinnati,2010,Big East
Cincinnati,2011,Big East
Cincinnati,2012,Big East
Cincinnati,2013,AAC
Cincinnati,2014,AAC
Cincinnati,2015,AAC
Cincinnati,2016,AAC
Cincinnati,2017,AAC
Cincinnati,2018,AAC
Cincinnati,2019,AAC
Cincinnati,2020,AAC
Cincinnati,2021,AAC
Cincinnati,2022,AAC
Cincinnati,2023,Big 12
Cincinnati,2024,Big 12
Citadel,2010,Southern
Citadel,2011,Southern
Citadel,2012,Southern
Citadel,2013,Southern
Citadel,2014,Southern
Citadel,2015,Southern
Citadel,2016,Southern
Citadel,2017,Southern
Citadel,2018,Southern
Citadel,2019,Southern
Citadel,2020,Southern
Citadel,2021,Southern
Citadel,2022,Southern
Citadel,2023,Southern
Citadel,2024,Southern
Clemson,2010,ACC
Clemson,2011,ACC
Clemson,2012,ACC
Clemson,2013,ACC
Clemson,2014,ACC
Clemson,2015,ACC
Clemson,2016,ACC
Clemson,2017,ACC
Clemson,2018,ACC
Clemson,2019,ACC
Clemson,2020,ACC
Clemson,2021,ACC
Clemson,2022,ACC
Clemson,2023,ACC
Clemson,2024,ACC
Cleveland State,2010,Horizon
Cleveland State,2011,Horizon
Cleveland State,2012,Horizon
Cleveland State,2013,Horizon
Cleveland State,2014,Horizon
Cleveland State,2015,Horizon
Cleveland State,2016,Horizon
Cleveland State,2017,Horizon
Cleveland State,2018,Horizon
Cleveland State,2019,Horizon
Cleveland State,2020,Horizon
Cleveland State,2021,Horizon
Cleveland State,2022,Horizon
Cleveland State,2023,Horizon
Cleveland State,2024,Horizon
Colgate,2010,Patriot
Colgate,2011,Patriot
Colgate,2012,Patriot
Colgate,2013,Patriot
Colgate,2014,Patriot
Colgate,2015,Patriot
Colgate,2016,Patriot
Colgate,2017,Patriot
Colgate,2018,Patriot
Colgate,2019,Patriot
Colgate,2020,Patriot
Colgate,2021,Patriot
Colgate,2022,Patriot
Colgate,2023,Patriot
Colgate,2024,Patriot
Colorado,2010,Big 12
Colorado,2011,Pac-12
Colorado,2012,Pac-12
Colorado,2013,Pac-12
Colorado,2014,Pac-12
Colorado,2015,Pac-12
Colorado,2016,Pac-12
Colorado,2017,Pac-12
Colorado,2018,Pac-12
Colorado,2019,Pac-12
Colorado,2020,Pac-12
Colorado,2021,Pac-12
Colorado,2022,Pac-12
Colorado,2023,Pac-12
Colorado,2024,Big 12
Colorado State,2010,Mountain West
Colorado State,2011,Mountain West
Colorado State,2012,Mountain West
Colorado State,2013,Mountain West
Colorado State,2014,Mountain West
Colorado State,2015,Mountain West
Colorado State,2016,Mountain West
Colorado State,2017,Mountain West
Colorado State,2018,Mountain West
Colorado State,2019,Mountain West
Colorado State,2020,Mountain West
Colorado State,2021,Mountain West
Colorado State,2022,Mountain West
Colorado State,2023,Mountain West
Colorado State,2024,Mountain West
Columbia,2010,Ivy
Columbia,2011,Ivy
Columbia,2012,Ivy
Columbia,2013,Ivy
Columbia,2014,Ivy
Columbia,2015,Ivy
Columbia,2016,Ivy
Columbia,2017,Ivy
Columbia,2018,Ivy
Columbia,2019,Ivy
Columbia,2020,Ivy
Columbia,2021,Ivy
Columbia,2022,Ivy
Columbia,2023,Ivy
Columbia,2024,Ivy
Connecticut,2010,Big East
Connecticut,2011,Big East
Connecticut,2012,Big East
Connecticut,2013,Big East
Connecticut,2014,Big East
Connecticut,2015,Big East
Connecticut,2016,Big East
Connecticut,2017,Big East
Connecticut,2018,Big East
Connecticut,2019,Big East
Connecticut,2020,Big East
Connecticut,2021,Big East
Connecticut,2022,Big East
Connecticut,2023,Big East
Connecticut,2024,Big East
Coppin State,2010,MEAC
Coppin State,2011,MEAC
Coppin State,2012,MEAC
Coppin State,2013,MEAC
Coppin State,2014,MEAC
Coppin State,2015,MEAC
Coppin State,2016,MEAC
Coppin State,2017,MEAC
Coppin State,2018,MEAC
Coppin State,2019,MEAC
Coppin State,2020,MEAC
Coppin State,2021,MEAC
Coppin State,2022,MEAC
Coppin State,2023,MEAC
Coppin State,2024,MEAC
Cornell,2010,Ivy
Cornell,2011,Ivy
Cornell,2012,Ivy
Cornell,2013,Ivy
Cornell,2014,Ivy
Cornell,2015,Ivy
Cornell,2016,Ivy
Cornell,2017,Ivy
Cornell,2018,Ivy
Cornell,2019,Ivy
Cornell,2020,Ivy
Cornell,2021,Ivy
Cornell,2022,Ivy
Cornell,2023,Ivy
Cornell,2024,Ivy
Dartmouth,2010,Ivy
Dartmouth,2011,Ivy
Dartmouth,2012,Ivy
Dartmouth,2013,Ivy
Dartmouth,2014,Ivy
Dartmouth,2015,Ivy
Dartmouth,2016,Ivy
Dartmouth,2017,Ivy
Dartmouth,2018,Ivy
Dartmouth,2019,Ivy
Dartmouth,2020,Ivy
Dartmouth,2021,Ivy
Dartmouth,2022,Ivy
Dartmouth,2023,Ivy
Dartmouth,2024,Ivy
Davidson,2010,Atlantic 10
Davidson,2011,Atlantic 10
Davidson,2012,Atlantic 10
Davidson,2013,Atlantic 10
Davidson,2014,Atlantic 10
Davidson,2015,Atlantic 10
Davidson,2016,Atlantic 10
Davidson,2017,Atlantic 10
Davidson,2018,Atlantic 10
Davidson,2019,Atlantic 10
Davidson,2020,Atlantic 10
Davidson,2021,Atlantic 10
Davidson,2022,Atlantic 10
Davidson,2023,Atlantic 10
Davidson,2024,Atlantic 10
Dayton,2010,Atlantic 10
Dayton,2011,Atlantic 10
Dayton,2012,Atlantic 10
Dayton,2013,Atlantic 10
Dayton,2014,Atlantic 10
Dayton,2015,Atlantic 10
Dayton,2016,Atlantic 10
Dayton,2017,Atlantic 10
Dayton,2018,Atlantic 10
Dayton,2019,Atlantic 10
Dayton,2020,Atlantic 10
Dayton,2021,Atlantic 10
Dayton,2022,Atlantic 10
Dayton,2023,Atlantic 10
Dayton,2024,Atlantic 10
DePaul,2010,Big East
DePaul,2011,Big East
DePaul,2012,Big East
DePaul,2013,Big East
DePaul,2014,Big East
DePaul,2015,Big East
DePaul,2016,Big East
DePaul,2017,Big East
DePaul,2018,Big East
DePaul,2019,Big East
DePaul,2020,Big East
DePaul,2021,Big East
DePaul,2022,Big East
DePaul,2023,Big East
DePaul,2024,Big East
Delaware,2010,CAA
Delaware,2011,CAA
Delaware,2012,CAA
Delaware,2013,CAA
Delaware,2014,CAA
Delaware,2015,CAA
Delaware,2016,CAA
Delaware,2017,CAA
Delaware,2018,CAA
Delaware,2019,CAA
Delaware,2020,CAA
Delaware,2021,CAA
Delaware,2022,CAA
Delaware,2023,CAA
Delaware,2024,CAA
Delaware State,2010,MEAC
Delaware State,2011,MEAC
Delaware State,2012,MEAC
Delaware State,2013,MEAC
Delaware State,2014,MEAC
Delaware State,2015,MEAC
Delaware State,2016,MEAC
Delaware State,2017,MEAC
Delaware State,2018,MEAC
Delaware State,2019,MEAC
Delaware State,2020,MEAC
Delaware State,2021,MEAC
Delaware State,2022,MEAC
Delaware State,2023,MEAC
Delaware State,2024,MEAC
Denver,2010,Summit
Denver,2011,Summit
Denver,2012,Summit
Denver,2013,Summit
Denver,2014,Summit
Denver,2015,Summit
Denver,2016,Summit
Denver,2017,Summit
Denver,2018,Summit
Denver,2019,Summit
Denver,2020,Summit
Denver,2021,Summit
Denver,2022,Summit
Denver,2023,Summit
Denver,2024,Summit
Detroit Mercy,2010,Horizon
Detroit Mercy,2011,Horizon
Detroit Mercy,2012,Horizon
Detroit Mercy,2013,Horizon
Detroit Mercy,2014,Horizon
Detroit Mercy,2015,Horizon
Detroit Mercy,2016,Horizon
Detroit Mercy,2017,Horizon
Detroit Mercy,2018,Horizon
Detroit Mercy,2019,Horizon
Detroit Mercy,2020,Horizon
Detroit Mercy,2021,Horizon
Detroit Mercy,2022,Horizon
Detroit Mercy,2023,Horizon
Detroit Mercy,2024,Horizon
Drake,2010,Missouri Valley
Drake,2011,Missouri Valley
Drake,2012,Missouri Valley
Drake,2013,Missouri Valley
Drake,2014,Missouri Valley
Drake,2015,Missouri Valley
Drake,2016,Missouri Valley
Drake,2017,Missouri Valley
Drake,2018,Missouri Valley
Drake,2019,Missouri Valley
Drake,2020,Missouri Valley
Drake,2021,Missouri Valley
Drake,2022,Missouri Valley
Drake,2023,Missouri Valley
Drake,2024,Missouri Valley
Drexel,2010,CAA
Drexel,2011,CAA
Drexel,2012,CAA
Drexel,2013,CAA
Drexel,2014,CAA
Drexel,2015,CAA
Drexel,2016,CAA
Drexel,2017,CAA
